chrID peakStart peakStop peakSize aveP minP aveChipCount maxChipCount aveInputCount aveInputCountScaled aveLog2Ratio EBNA2 JK_92 JK_234 EBNA3A EBNA3B EBNA3C GeneID chromosome strand gene.start gene.end region distance gene.info peak.start peak.end peak.value ATF2 ATF3 BATF BCL11A BCL3 BCLAF1 BHLHE40 BRCA1 c-FOS c-MYC CEBPB CHD1 CHD2 COREST CTCF Dnase E2F4 EBF1 EGR1 ELF1 ELK1 ETS1 EZH2 FOXM1 GABP GCN5 H2ZA H3K27AC H3K27ME3 H3K36ME3 H3K4ME1 H3K4ME2 H3K4ME3 H3K79ME2 H3K9AC H3K9ME3 H4K20ME1 IKZF1 IRF3 IRF4 JUND MAX MAZ MEF2A MEF2C MTA3 MXI1 NFATC1 NFE2 NFIC NFKB NFYA NFYB NRF1 NRSF P300 PAX3 PAX5 PML POL2 POL3 POU2F2 PU.1 RAD21 RFX5 RUNX3 RXRA SIN3 SIX5 SMC3 SP1 SPT20 SRF STAT1 STAT3 STAT5 TAF1 TBLR1 TBP TCF12 TCF3 TR4 USF1 USF2 WHIP YY1 ZBTB33 ZEB1 ZNF143 ZNF274 ZZZ3
chr1 10000 10599 600 0.000110008076159309 3.17682195710677e-12 21.3333333333333 28 0 0 4.42947784893103 0 0 1 1 0 1 WASH5P chr1 - 14362 29370 3p2 19071 NA 10000 10599 21.3333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chr1 840600 841199 600 2.12296512903848e-06 1.06014520678218e-32 34.6666666666667 51 1 1.35936294715327 3.75688327635663 0 0 1 0 0 0 FLJ39609 chr1 - 852952 854817 3d 13918 NA 840600 841199 34.6666666666667 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 1 0 0 0 1 1 1 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
chr1 1510000 1510599 600 6.18277667020301e-11 1.11217554417852e-23 27.3333333333333 39 3 4.07808884145981 2.51747333080397 0 1 1 0 0 0 SSU72 chr1 - 1477053 1510262 5p1 -37 NA 1510000 1510599 27.3333333333333 0 1 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 0 1 1 1 1 0 0 1 0 1 1 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 1 0 1 1 0 1 0 1 0 0 0 1 0 0 0 1 0 1 0 0 1 1 0 0 0 0
chr1 1530400 1532199 1800 3.50067240702579e-06 1.30909763920959e-28 27.7777777777778 46 1.11111111111111 1.51040327461475 3.69385905088185 0 0 1 0 0 1 MIB2 chr1 + 1550883 1565984 5d -19584 NA 1530400 1532199 27.7777777777778 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chr1 1609000 1609999 1000 1.06255157457323e-05 1.3705379738687e-48 37.8 70 3.2 4.34996143089047 2.61471790125506 1 1 1 0 0 0 LOC728661 chr1 - 1592939 1624243 gene 14744 intron_1 1609000 1609999 37.8 1 0 0 1 1 1 1 0 0 0 0 0 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 0 1 1 1 1 1 0 0 1 0 1 0 1 1 0 0 1 1 0 0 1 0 0 0 0 0 1 0 1 1 1 0 1 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
chr1 1711200 1712199 1000 2.97805739146159e-07 3.23063834003937e-22 26.8 38 2.6 3.53434366259851 2.72524624500836 1 1 1 0 1 0 NADK chr1 - 1682677 1709909 5p1 -1790 NA 1711200 1712199 26.8 0 0 1 1 0 0 1 0 0 0 1 0 1 0 0 1 0 1 1 1 0 0 0 1 0 0 1 1 0 0 1 1 1 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 1 0 0 0 0 1 1 1 1 1 0 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0
chr1 2458200 2458799 600 9.61625198967512e-12 8.29674505761981e-34 33.3333333333333 50 3.66666666666667 4.98433080622866 2.44556773758084 1 1 1 0 0 0 PANK4 chr1 - 2439974 2458035 5p1 -464 NA 2458200 2458799 33.3333333333333 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0
chr1 2487000 2487999 1000 7.21992265456248e-05 5.21696209571764e-36 31.8 55 2 2.71872589430654 3.06822862240371 1 1 1 0 0 0 TNFRSF14 chr1 + 2487804 2495265 5p1 -305 NA 2487000 2487999 31.8 0 0 1 1 1 0 1 0 1 0 0 1 1 0 1 1 0 1 1 0 1 0 0 1 1 0 1 1 0 0 1 1 1 1 1 0 0 0 0 0 0 1 1 0 0 1 1 0 1 1 1 0 0 0 1 1 0 1 0 1 0 0 1 0 1 1 0 0 0 1 1 0 0 0 0 1 1 0 1 0 1 0 1 1 1 1 0 0 0 0 0
chr1 2757200 2757799 600 1.22031307002789e-05 1.7348967461609e-16 19.3333333333333 29 3 4.07808884145981 2.06344384814389 0 0 1 0 0 0 ACTRT2 chr1 + 2938045 2939465 gd -180546 NA 2757200 2757799 19.3333333333333 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chr1 3156600 3156999 400 3.42356585223298e-59 1.46600591232667e-66 97 102 0 0 6.61282966914562 0 0 1 0 1 1 PRDM16 chr1 + 2985743 3355183 gene 171056 intron_2 3156600 3156999 97 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
