chrID peakStart peakStop peakSize aveP minP aveChipCount maxChipCount aveInputCount aveInputCountScaled aveLog2Ratio EBNA2 JK_92 JK_234 EBNA3A EBNA3B EBNA3C GeneID chromosome strand gene.start gene.end region distance gene.info peak.start peak.end peak.value ATF2 ATF3 BATF BCL11A BCL3 BCLAF1 BHLHE40 BRCA1 c-FOS c-MYC CEBPB CHD1 CHD2 COREST CTCF Dnase E2F4 EBF1 EGR1 ELF1 ELK1 ETS1 EZH2 FOXM1 GABP GCN5 H2ZA H3K27AC H3K27ME3 H3K36ME3 H3K4ME1 H3K4ME2 H3K4ME3 H3K79ME2 H3K9AC H3K9ME3 H4K20ME1 IKZF1 IRF3 IRF4 JUND MAX MAZ MEF2A MEF2C MTA3 MXI1 NFATC1 NFE2 NFIC NFKB NFYA NFYB NRF1 NRSF P300 PAX3 PAX5 PML POL2 POL3 POU2F2 PU.1 RAD21 RFX5 RUNX3 RXRA SIN3 SIX5 SMC3 SP1 SPT20 SRF STAT1 STAT3 STAT5 TAF1 TBLR1 TBP TCF12 TCF3 TR4 USF1 USF2 WHIP YY1 ZBTB33 ZEB1 ZNF143 ZNF274 ZZZ3
chr1 1167400 1167799 400 7.32999483189764e-07 4.60996285977708e-08 63.5 68 0.5 1.19948685429219 5.12515792493017 0 0 0 1 1 0 B3GALT6 chr1 + 1167628 1170418 5p1 -29 NA 1167400 1167799 63.5 0 1 0 0 0 0 0 0 1 1 0 1 1 1 0 1 0 0 1 1 1 1 0 0 1 0 1 1 0 0 0 1 1 1 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 1 0 1 0 0 0 1 0 1 1 0 1 0 0 0 0 0 1 1 1 0 1 0 1 1 0 1 0 0 1 0 0
chr1 1709600 1710599 1000 0.0104140839052512 1.93592085380274e-14 59.6 106 0.6 1.43938422515063 4.7137678837169 1 1 0 1 1 0 NADK chr1 - 1682677 1709909 5p1 -190 NA 1709600 1710599 59.6 1 1 0 1 1 1 1 0 0 0 1 1 1 1 1 1 0 1 1 1 0 1 0 1 0 0 1 1 0 0 1 1 1 1 1 0 0 0 0 1 0 1 1 1 1 1 1 1 0 1 0 0 0 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 0 1 1 0 1 0 0 1 0 1 0 1 1 0 1 1 1 1 0 1 0 0 0
chr1 1711800 1712199 400 0.000157601783058393 4.22554486285534e-05 47.5 50 1.5 3.59846056287658 3.44767292307745 1 1 1 0 1 0 NADK chr1 - 1682677 1709909 5p2 -2090 NA 1711800 1712199 47.5 0 0 1 1 0 0 1 0 0 0 1 0 1 0 0 1 0 1 1 1 0 0 0 1 0 0 1 1 0 0 1 1 1 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 1 0 0 0 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0
chr1 3156600 3156999 400 3.32653949452713e-06 2.12137866018152e-07 59.5 64 0 0 5.91486136754303 0 0 1 0 1 1 PRDM16 chr1 + 2985743 3355183 gene 171056 intron_2 3156600 3156999 59.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chr1 3573200 3573599 400 1.74745466147238e-06 1.4204041177445e-06 58.5 59 3.5 8.39640798004534 2.67450900219536 1 1 0 0 1 0 TP73 chr1 + 3569128 3650467 gene 4271 intron_1 3573200 3573599 58.5 1 0 1 1 1 0 1 0 0 0 1 1 0 0 0 1 0 1 1 1 1 0 1 1 0 0 1 1 0 0 1 1 1 1 1 0 0 0 0 1 1 0 1 1 1 1 0 1 0 1 1 0 0 0 0 1 0 1 1 1 0 1 1 0 0 1 0 1 0 1 1 0 1 0 0 1 1 0 1 1 0 0 0 0 1 1 0 0 0 0 0
chr1 3593000 3593999 1000 0.0120640896458201 4.358070671338e-13 61 98 4.6 11.0352790594882 2.36871730702594 1 1 1 1 1 1 TP73 chr1 + 3569128 3650467 gene 24371 intron_1 3593000 3593999 61 1 0 1 1 1 1 1 0 0 0 1 1 1 0 1 1 0 1 1 1 0 0 0 1 0 0 0 1 0 0 1 1 1 1 1 0 0 1 0 1 0 1 1 1 1 1 1 1 0 1 1 0 0 0 0 1 0 1 1 1 0 1 1 1 0 1 0 1 0 1 1 0 1 1 1 1 1 1 0 1 1 0 0 0 0 1 0 1 0 0 0
chr1 3773600 3773999 400 2.47128059332048e-09 3.13760475089043e-10 77.5 81 1.5 3.59846056287658 4.77564428968659 0 0 0 1 1 0 KIAA0562 chr1 - 3731343 3773797 5p1 -2 NA 3773600 3773999 77.5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 1 0 0 0 1 0 1 1 0 0 0 1 1 1 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 1 0 1 0 1 0 1 0 0 1 1 1 0 1 0 0 0 0 0 0 1 1 0 1 0 0 1 0 1 1 0 0
chr1 5005000 5005399 400 4.98132452847231e-10 2.95271455875813e-13 88.5 99 1 2.39897370858438 4.70871926644956 0 0 0 0 1 0 AJAP1 chr1 + 4715104 4843850 gd 290095 NA 5005000 5005399 88.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chr1 5810400 5810799 400 2.90317092629519e-05 2.90210325719145e-05 51 51 0.5 1.19948685429219 4.81789011687791 0 0 1 0 1 1 NPHP4 chr1 - 5922869 6052531 gd 241932 NA 5810400 5810799 51 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chr1 8747000 8747599 600 0.000399026049924745 1.79636094869599e-16 78.6666666666667 118 1.66666666666667 3.99828951430731 3.9121179012427 1 1 1 0 1 0 ENO1 chr1 - 8921062 8938780 gd 191481 NA 8747000 8747599 78.6666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
