chrID peakStart peakStop peakSize aveP minP aveChipCount maxChipCount aveInputCount aveInputCountScaled aveLog2Ratio EBNA2 JK_92 JK_234 EBNA3A EBNA3B EBNA3C GeneID chromosome strand gene.start gene.end region distance gene.info peak.start peak.end peak.value ATF2 ATF3 BATF BCL11A BCL3 BCLAF1 BHLHE40 BRCA1 c-FOS c-MYC CEBPB CHD1 CHD2 COREST CTCF Dnase E2F4 EBF1 EGR1 ELF1 ELK1 ETS1 EZH2 FOXM1 GABP GCN5 H2ZA H3K27AC H3K27ME3 H3K36ME3 H3K4ME1 H3K4ME2 H3K4ME3 H3K79ME2 H3K9AC H3K9ME3 H4K20ME1 IKZF1 IRF3 IRF4 JUND MAX MAZ MEF2A MEF2C MTA3 MXI1 NFATC1 NFE2 NFIC NFKB NFYA NFYB NRF1 NRSF P300 PAX3 PAX5 PML POL2 POL3 POU2F2 PU.1 RAD21 RFX5 RUNX3 RXRA SIN3 SIX5 SMC3 SP1 SPT20 SRF STAT1 STAT3 STAT5 TAF1 TBLR1 TBP TCF12 TCF3 TR4 USF1 USF2 WHIP YY1 ZBTB33 ZEB1 ZNF143 ZNF274 ZZZ3
chr1 9800 10399 600 0.0316095757343168 3.93738974551885e-05 30.6666666666667 44 0 0 4.92652182529304 0 0 1 1 0 1 WASH5P chr1 - 14362 29370 3p2 19271 NA 9800 10399 30.6666666666667 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chr1 1167400 1167799 400 0.0223635816683087 0.00317291071592206 30 32 0.5 2.03687740187968 3.77966065681956 0 0 0 1 1 0 B3GALT6 chr1 + 1167628 1170418 5p1 -29 NA 1167400 1167799 30 0 1 0 0 0 0 0 0 1 1 0 1 1 1 0 1 0 0 1 1 1 1 0 0 1 0 1 1 0 0 0 1 1 1 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 1 1 0 1 0 0 0 1 0 1 1 0 1 0 0 0 0 0 1 1 1 0 1 0 1 1 0 1 0 0 1 0 0
chr1 1709600 1710199 600 0.0162300920859431 3.93738974551885e-05 36 44 0.333333333333333 1.35791826791979 4.3834024966252 0 0 0 1 1 0 NADK chr1 - 1682677 1709909 gene 10 exon_1 1709600 1710199 36 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 1 1 1 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0
chr1 2574400 2574799 400 0.0474246949296805 0.00230758792137588 31.5 38 1 4.07375480375936 2.64986716765477 0 0 0 1 0 0 MMEL1 chr1 - 2522080 2564481 5d -10118 NA 2574400 2574799 31.5 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 1 0 1 1 0 0 0 1 0 1 1 0 0 1 1 1 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 0 0 0 1 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chr1 3593600 3593799 200 0.00339641615444802 0.00339641615444802 40 40 6 24.4425288225562 0.688381837440002 1 1 1 1 1 1 TP73 chr1 + 3569128 3650467 gene 24571 intron_1 3593600 3593799 40 1 0 1 1 1 1 1 0 0 0 1 1 1 0 1 1 0 1 1 1 0 0 0 1 0 0 0 1 0 0 1 1 1 1 1 0 0 1 0 1 0 1 1 1 1 1 1 1 0 1 1 0 0 0 0 1 0 1 1 1 0 1 1 1 0 1 0 1 0 1 1 0 1 1 1 1 1 1 0 1 1 0 0 0 0 1 0 1 0 0 0
chr1 3695800 3696199 400 0.00695390134760886 0.00635096213838785 32 34 0.5 2.03687740187968 3.87021276324247 0 0 0 1 0 0 LOC388588 chr1 + 3689351 3692545 3p2 6648 NA 3695800 3696199 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chr1 3773600 3773999 400 0.000845222416704309 0.000770220390653093 39.5 43 1.5 6.11063220563904 3.47204836713459 0 0 0 1 1 0 KIAA0562 chr1 - 3731343 3773797 5p1 -2 NA 3773600 3773999 39.5 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 1 1 0 0 0 1 0 1 1 0 0 0 1 1 1 1 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 1 0 1 0 1 0 1 0 0 1 1 1 0 1 0 0 0 0 0 0 1 1 0 1 0 0 1 0 1 1 0 0
chr1 4087600 4087799 200 0.00157056893693233 0.00157056893693233 34 34 0 0 5.12928301694497 0 0 0 1 0 0 LOC100133612 chr1 + 3816967 3832009 gd 270732 NA 4087600 4087799 34 1 0 0 1 1 0 0 0 0 0 0 0 1 1 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0
chr1 6166800 6167199 400 0.0558814293122421 0.0228282176748926 26.5 31 1 4.07375480375936 3.16509146512335 0 0 1 1 0 1 CHD5 chr1 - 6161852 6240183 gene 73184 intron_38 6166800 6167199 26.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chr1 6168000 6168399 400 0.010384121266462 0.000337366831355306 40 48 4.5 18.3318966169171 1.13257277314926 0 0 1 1 0 1 CHD5 chr1 - 6161852 6240183 gene 71984 intron_38 6168000 6168399 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
