chrID peakStart peakStop peakSize aveP minP aveChipCount maxChipCount aveInputCount aveInputCountScaled aveLog2Ratio EBNA2 JK_92 JK_234 EBNA3A EBNA3B EBNA3C GeneID chromosome strand gene.start gene.end region distance gene.info peak.start peak.end peak.value ATF2 ATF3 BATF BCL11A BCL3 BCLAF1 BHLHE40 BRCA1 c-FOS c-MYC CEBPB CHD1 CHD2 COREST CTCF Dnase E2F4 EBF1 EGR1 ELF1 ELK1 ETS1 EZH2 FOXM1 GABP GCN5 H2ZA H3K27AC H3K27ME3 H3K36ME3 H3K4ME1 H3K4ME2 H3K4ME3 H3K79ME2 H3K9AC H3K9ME3 H4K20ME1 IKZF1 IRF3 IRF4 JUND MAX MAZ MEF2A MEF2C MTA3 MXI1 NFATC1 NFE2 NFIC NFKB NFYA NFYB NRF1 NRSF P300 PAX3 PAX5 PML POL2 POL3 POU2F2 PU.1 RAD21 RFX5 RUNX3 RXRA SIN3 SIX5 SMC3 SP1 SPT20 SRF STAT1 STAT3 STAT5 TAF1 TBLR1 TBP TCF12 TCF3 TR4 USF1 USF2 WHIP YY1 ZBTB33 ZEB1 ZNF143 ZNF274 ZZZ3
chr1 1084000 1084599 600 0.00026617083415589 1.91175172068233e-25 26 34 0.333333333333333 0.179025422950107 4.41797603397743 1 1 0 0 0 0 TTLL10 chr1 + 1109285 1133313 5d -24986 NA 1084000 1084599 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chr1 1310400 1311199 800 5.07988859717299e-09 8.07832193498455e-29 40.5 60 2 1.07415253770064 4.21303307732274 1 0 0 0 0 0 AURKAIP1 chr1 - 1309109 1310580 5p1 -219 NA 1310400 1311199 40.5 1 0 0 0 0 1 1 1 0 0 1 1 1 1 1 1 0 0 1 1 1 1 0 1 1 0 1 1 0 0 0 1 1 1 1 0 0 0 0 0 0 1 1 1 1 0 1 0 0 1 0 0 0 0 0 1 0 1 1 1 0 1 1 0 1 1 1 1 1 0 1 0 1 0 0 1 1 1 1 0 1 0 1 0 1 1 1 1 1 0 0
chr1 1342400 1342999 600 2.16218808427302e-05 1.60895271336566e-17 24 36 0.666666666666667 0.358050845900214 4.13317613742334 1 0 0 0 0 0 MRPL20 chr1 - 1337276 1342693 5p1 -6 NA 1342400 1342999 24 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 0 0 1 1 1 1 0 0 1 0 1 1 0 0 0 1 1 1 1 0 0 0 0 0 0 1 1 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 1 0 1 0 0 0 1 0 1 1 0 1 0 1 0 0 0 1 1 1 1 1 1 1 0 0 1 0 0 1 0 0
chr1 1609000 1609999 1000 6.04864306319868e-09 1.70830897732607e-92 83 158 3.2 1.71864406032103 4.60363828029843 1 1 1 0 0 0 LOC728661 chr1 - 1592939 1624243 gene 14744 intron_1 1609000 1609999 83 1 0 0 1 1 1 1 0 0 0 0 0 1 0 0 1 0 1 0 1 0 1 0 1 1 0 1 1 0 0 1 1 1 1 1 0 0 1 0 1 0 1 1 0 0 1 1 0 0 1 0 0 0 0 0 1 0 1 1 1 0 1 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
chr1 1710200 1710999 800 1.62164140028258e-05 3.20886209585729e-25 31.25 49 1.25 0.671345336062902 4.15623063573176 1 1 0 0 1 0 NADK chr1 - 1682677 1709909 5p1 -690 NA 1710200 1710999 31.25 1 0 0 1 1 1 1 0 0 0 1 1 1 1 1 1 0 1 1 1 0 1 0 1 0 0 1 1 0 0 1 1 1 1 1 0 0 0 0 1 0 1 1 1 1 1 1 1 0 1 0 0 0 0 1 1 0 1 1 1 0 1 1 1 0 1 1 1 0 1 1 0 1 0 0 1 0 1 0 1 1 0 1 1 1 1 0 1 0 0 0
chr1 1711800 1712199 400 7.7609229469584e-11 1.34514932297806e-14 28.5 31 1.5 0.805614403275483 4.0410883763296 1 1 1 0 1 0 NADK chr1 - 1682677 1709909 5p2 -2090 NA 1711800 1712199 28.5 0 0 1 1 0 0 1 0 0 0 1 0 1 0 0 1 0 1 1 1 0 0 0 1 0 0 1 1 0 0 1 1 1 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 0 1 1 0 0 0 0 1 1 1 1 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0
chr1 2323000 2323399 400 1.63379183368163e-10 4.23825853224741e-11 16.5 17 0 0 4.12869392134633 1 0 0 0 0 0 RER1 chr1 + 2323213 2336874 5p1 -14 NA 2323000 2323399 16.5 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 1 1 1 1 1 0 0 0 1 0 1 1 0 0 0 1 1 1 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 1 1 0 0 1 0 1 1 0 1 1 0 1 0 1 0 0 0 1 0 0 1 1 0 1 1 0 1 0 0 0 0 0
chr1 2458200 2458799 600 7.2186458319885e-11 6.5391246932394e-20 35 48 3.66666666666667 1.96927965245118 3.56190062101019 1 1 1 0 0 0 PANK4 chr1 - 2439974 2458035 5p1 -464 NA 2458200 2458799 35 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 1 1 1 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 1 0 0 0 0 0 0 0
chr1 2487200 2487799 600 1.41961060267514e-05 1.05910173396636e-11 19.3333333333333 26 1.66666666666667 0.895127114750536 3.43323537351666 1 1 1 0 0 0 TNFRSF14 chr1 + 2487804 2495265 5p1 -305 NA 2487200 2487799 19.3333333333333 0 0 1 1 1 0 1 0 1 0 0 1 1 0 1 1 0 1 1 0 1 0 0 1 1 0 1 1 0 0 1 1 1 1 1 0 0 0 0 0 0 1 1 0 0 1 1 0 1 1 1 0 0 0 1 1 0 1 0 1 0 0 1 0 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 1 1 1 0 0 0 0 0 0
chr1 2507400 2508199 800 2.32240106124845e-07 8.14237534807821e-08 16 20 0.75 0.402807201637741 3.63733235209014 1 1 0 0 0 0 C1orf93 chr1 + 2518248 2522902 5d -10449 NA 2507400 2508199 16 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0
chr1 3530400 3530999 600 9.36387926786599e-10 2.00346756011634e-16 26 37 1.66666666666667 0.895127114750536 3.85518804686123 1 1 1 0 0 0 MEGF6 chr1 - 3404512 3528059 5p2 -2640 NA 3530400 3530999 26 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
chr1 3566600 3566799 200 2.36733377447888e-06 2.36733377447888e-06 18 18 2 1.07415253770064 3.19540551645155 1 0 0 0 0 0 WDR8 chr1 - 3547331 3566671 5p1 -28 NA 3566600 3566799 18 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 1 1 1 1 0 0 1 0 1 1 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 0 0 0 1 1 0 1 1 1 0 1 0 1 1 1 1 0 1 0 0 0 0 0 1 0 1 0 0 0 1 1 1 0 1 0 0
